#    L    TT             EE             TE          
   348    0.23959E+04    0.16500E+02    0.87380E+02
   349    0.23712E+04    0.16653E+02    0.86153E+02
   350    0.23469E+04    0.16804E+02    0.84902E+02
   351    0.23231E+04    0.16953E+02    0.83619E+02
   352    0.22995E+04    0.17100E+02    0.82305E+02
   353    0.22762E+04    0.17244E+02    0.80975E+02
   354    0.22532E+04    0.17386E+02    0.79605E+02
   355    0.22307E+04    0.17525E+02    0.78211E+02
   356    0.22085E+04    0.17663E+02    0.76801E+02
   357    0.21866E+04    0.17797E+02    0.75359E+02
   358    0.21651E+04    0.17927E+02    0.73901E+02
   359    0.21440E+04    0.18056E+02    0.72411E+02
   360    0.21232E+04    0.18182E+02    0.70901E+02
   361    0.21028E+04    0.18305E+02    0.69366E+02
   362    0.20828E+04    0.18425E+02    0.67810E+02
   363    0.20632E+04    0.18543E+02    0.66234E+02
   364    0.20440E+04    0.18657E+02    0.64636E+02
   365    0.20251E+04    0.18768E+02    0.63020E+02
   366    0.20067E+04    0.18876E+02    0.61384E+02
   367    0.19887E+04    0.18980E+02    0.59730E+02
   368    0.19709E+04    0.19082E+02    0.58060E+02
   369    0.19537E+04    0.19180E+02    0.56371E+02
   370    0.19369E+04    0.19275E+02    0.54669E+02
   371    0.19205E+04    0.19367E+02    0.52950E+02
   372    0.19044E+04    0.19455E+02    0.51218E+02
   373    0.18888E+04    0.19540E+02    0.49471E+02
   374    0.18736E+04    0.19622E+02    0.47712E+02
   375    0.18587E+04    0.19700E+02    0.45942E+02
   376    0.18444E+04    0.19775E+02    0.44160E+02
   377    0.18305E+04    0.19846E+02    0.42369E+02
   378    0.18169E+04    0.19913E+02    0.40566E+02
   379    0.18038E+04    0.19977E+02    0.38757E+02
   380    0.17911E+04    0.20038E+02    0.36938E+02
   381    0.17788E+04    0.20093E+02    0.35112E+02
   382    0.17669E+04    0.20146E+02    0.33281E+02
   383    0.17554E+04    0.20195E+02    0.31443E+02
   384    0.17445E+04    0.20239E+02    0.29602E+02
   385    0.17338E+04    0.20281E+02    0.27756E+02
   386    0.17237E+04    0.20319E+02    0.25907E+02
   387    0.17139E+04    0.20353E+02    0.24056E+02
   388    0.17045E+04    0.20382E+02    0.22203E+02
   389    0.16955E+04    0.20406E+02    0.20350E+02
   390    0.16870E+04    0.20430E+02    0.18498E+02
   391    0.16789E+04    0.20448E+02    0.16646E+02
   392    0.16712E+04    0.20464E+02    0.14796E+02
   393    0.16639E+04    0.20475E+02    0.12949E+02
   394    0.16570E+04    0.20482E+02    0.11106E+02
   395    0.16505E+04    0.20485E+02    0.92660E+01
   396    0.16445E+04    0.20484E+02    0.74323E+01
   397    0.16387E+04    0.20479E+02    0.56037E+01
   398    0.16335E+04    0.20471E+02    0.37816E+01
   399    0.16286E+04    0.20458E+02    0.19669E+01
   400    0.16240E+04    0.20442E+02    0.16056E+00
   401    0.16199E+04    0.20422E+02   -0.16369E+01
   402    0.16163E+04    0.20397E+02   -0.34246E+01
   403    0.16129E+04    0.20370E+02   -0.52019E+01
   404    0.16100E+04    0.20338E+02   -0.69672E+01
   405    0.16074E+04    0.20301E+02   -0.87216E+01
   406    0.16052E+04    0.20262E+02   -0.10463E+02
   407    0.16034E+04    0.20219E+02   -0.12192E+02
   408    0.16019E+04    0.20171E+02   -0.13905E+02
   409    0.16009E+04    0.20121E+02   -0.15604E+02
   410    0.16001E+04    0.20066E+02   -0.17289E+02
   411    0.15998E+04    0.20008E+02   -0.18957E+02
   412    0.15998E+04    0.19947E+02   -0.20608E+02
   413    0.16001E+04    0.19882E+02   -0.22242E+02
   414    0.16008E+04    0.19813E+02   -0.23859E+02
   415    0.16018E+04    0.19741E+02   -0.25456E+02
   416    0.16031E+04    0.19665E+02   -0.27034E+02
   417    0.16048E+04    0.19586E+02   -0.28594E+02
   418    0.16068E+04    0.19502E+02   -0.30132E+02
   419    0.16091E+04    0.19416E+02   -0.31649E+02
   420    0.16118E+04    0.19327E+02   -0.33145E+02
   421    0.16148E+04    0.19235E+02   -0.34618E+02
   422    0.16180E+04    0.19138E+02   -0.36070E+02
   423    0.16215E+04    0.19039E+02   -0.37497E+02
   424    0.16253E+04    0.18936E+02   -0.38902E+02
   425    0.16295E+04    0.18830E+02   -0.40281E+02
   426    0.16339E+04    0.18721E+02   -0.41635E+02
   427    0.16386E+04    0.18609E+02   -0.42966E+02
   428    0.16435E+04    0.18494E+02   -0.44269E+02
   429    0.16487E+04    0.18377E+02   -0.45546E+02
   430    0.16542E+04    0.18257E+02   -0.46797E+02
   431    0.16600E+04    0.18133E+02   -0.48021E+02
   432    0.16659E+04    0.18007E+02   -0.49218E+02
   433    0.16722E+04    0.17879E+02   -0.50385E+02
   434    0.16786E+04    0.17748E+02   -0.51526E+02
   435    0.16852E+04    0.17615E+02   -0.52638E+02
   436    0.16921E+04    0.17480E+02   -0.53721E+02
   437    0.16992E+04    0.17341E+02   -0.54774E+02
   438    0.17065E+04    0.17201E+02   -0.55796E+02
   439    0.17141E+04    0.17059E+02   -0.56790E+02
   440    0.17218E+04    0.16914E+02   -0.57753E+02
   441    0.17298E+04    0.16768E+02   -0.58685E+02
   442    0.17378E+04    0.16619E+02   -0.59587E+02
   443    0.17461E+04    0.16468E+02   -0.60457E+02
   444    0.17545E+04    0.16316E+02   -0.61295E+02
   445    0.17632E+04    0.16161E+02   -0.62102E+02
   446    0.17718E+04    0.16006E+02   -0.62876E+02
   447    0.17807E+04    0.15849E+02   -0.63619E+02
   448    0.17897E+04    0.15690E+02   -0.64329E+02
   449    0.17989E+04    0.15530E+02   -0.65007E+02
   450    0.18083E+04    0.15369E+02   -0.65652E+02
   451    0.18177E+04    0.15206E+02   -0.66264E+02
   452    0.18272E+04    0.15043E+02   -0.66845E+02
   453    0.18369E+04    0.14879E+02   -0.67392E+02
   454    0.18466E+04    0.14714E+02   -0.67907E+02
   455    0.18565E+04    0.14547E+02   -0.68390E+02
